iter	MultiClass
0	1.598047556
1	1.586745914
2	1.579520058
3	1.565635593
4	1.559693499
5	1.550529284
6	1.550289404
7	1.540956521
8	1.537492165
9	1.524544026
10	1.523045945
11	1.517747224
12	1.517361612
13	1.507066288
14	1.496276991
15	1.485712739
16	1.481799447
17	1.472210994
18	1.464138298
19	1.456220116
20	1.455988734
21	1.449185605
22	1.444356146
23	1.437223149
24	1.429330248
25	1.426710635
26	1.418838963
27	1.411184861
28	1.405432497
29	1.399061551
30	1.395648511
31	1.390016423
32	1.388322656
33	1.381993369
34	1.375739449
35	1.369111916
36	1.36530004
37	1.362131628
38	1.35734643
39	1.352507483
40	1.347199358
41	1.34477269
42	1.340381193
43	1.333564519
44	1.328199251
45	1.322967992
46	1.317795447
47	1.31155565
48	1.306044511
49	1.305350669
50	1.300411062
51	1.294778767
52	1.288277284
53	1.281713426
54	1.276059409
55	1.270443561
56	1.269306289
57	1.264117784
58	1.258619553
59	1.255316612
60	1.250997187
61	1.246723975
62	1.242502176
63	1.238083858
64	1.235619777
65	1.231434247
66	1.231432762
67	1.227451307
68	1.222938216
69	1.218750719
70	1.215940758
71	1.212358274
72	1.207975817
73	1.204070232
74	1.199797597
75	1.195441676
76	1.190887599
77	1.186907565
78	1.183948002
79	1.17991466
80	1.17620883
81	1.173162513
82	1.169174084
83	1.164902789
84	1.161386881
85	1.156881817
86	1.153448638
87	1.149875772
88	1.146142669
89	1.142808958
90	1.138847953
91	1.135117511
92	1.131963078
93	1.128497828
94	1.125055514
95	1.122471828
96	1.119487837
97	1.116646433
98	1.113083283
99	1.109747009
100	1.107199848
101	1.104541594
102	1.10144123
103	1.099974937
104	1.097977559
105	1.094776081
106	1.09186563
107	1.089329401
108	1.087678877
109	1.08546546
110	1.08253306
111	1.079987623
112	1.077118627
113	1.073593761
114	1.071446407
115	1.068785367
116	1.066453664
117	1.063701655
118	1.06002462
119	1.057463121
120	1.054562092
121	1.052150751
122	1.048900299
123	1.04637146
124	1.043900528
125	1.040830023
126	1.038598724
127	1.036077322
128	1.033568926
129	1.031521326
130	1.028383818
131	1.026160318
132	1.023946513
133	1.021748904
134	1.018906172
135	1.016630511
136	1.014568534
137	1.011676809
138	1.009344436
139	1.007384177
140	1.005632662
141	1.003170025
142	1.001482441
143	0.9991034906
144	0.9969087378
145	0.994895833
146	0.9927561461
147	0.99113214
148	0.9884013124
149	0.9860286109
150	0.9838963974
151	0.9817001329
152	0.9800811558
153	0.9797647748
154	0.9772575957
155	0.9749437115
156	0.9741301379
157	0.9718671721
158	0.9698666089
159	0.9684300422
160	0.9666722188
161	0.9642129174
162	0.9623092795
163	0.9597525736
164	0.9576994888
165	0.9564720548
166	0.955929836
167	0.954213697
168	0.9528467632
169	0.9506885578
170	0.9491763775
171	0.9468737593
172	0.9452794024
173	0.9437328588
174	0.9419577648
175	0.940584595
176	0.9390425761
177	0.9374957363
178	0.9354817761
179	0.9336092091
180	0.9318684525
181	0.9303334429
182	0.9285699009
183	0.9269332027
184	0.9263612558
185	0.9246415584
186	0.9231941895
187	0.9211381721
188	0.9194368495
189	0.917202934
190	0.9156244998
191	0.9140477832
192	0.9120552294
193	0.9105748811
194	0.9083081068
195	0.9064047283
196	0.9048290584
197	0.9029111195
198	0.9013198475
199	0.8994932127
200	0.8978431681
201	0.8959760668
202	0.8943291322
203	0.8938540854
204	0.8933165908
205	0.8914774241
206	0.889532058
207	0.887826419
208	0.8859898269
209	0.8843083718
210	0.8834860033
211	0.881863015
212	0.8802333055
213	0.8786238138
214	0.8771933466
215	0.875487849
216	0.8736032545
217	0.871815862
218	0.8703423822
219	0.8703134048
220	0.868752435
221	0.8676746698
222	0.8659733319
223	0.864296745
224	0.8628489275
225	0.8612187194
226	0.8598474053
227	0.8583376813
228	0.8568885499
229	0.8557716081
230	0.8544717783
231	0.8529593854
232	0.8510798825
233	0.8496967645
234	0.8483426971
235	0.8469288094
236	0.8456453831
237	0.8440757123
238	0.8428433346
239	0.8417811849
240	0.8404675065
241	0.8389274129
242	0.8370929218
243	0.8356301928
244	0.8342368672
245	0.8335284257
246	0.8323497299
247	0.8309122663
248	0.8297202198
249	0.8281988945
250	0.8269703102
251	0.8254173658
252	0.824072348
253	0.822370365
254	0.8209151468
255	0.8198100297
256	0.8184439202
257	0.8169323781
258	0.8158386212
259	0.8144849337
260	0.8136694822
261	0.8134712632
262	0.8123584304
263	0.8110550432
264	0.8096878777
265	0.8083675711
266	0.8071094835
267	0.8058992263
268	0.8044189721
269	0.8031041141
270	0.8019401882
271	0.8005777811
272	0.7994157991
273	0.7981716836
274	0.7968154716
275	0.7963149821
276	0.7955784632
277	0.7943128667
278	0.7933896216
279	0.7920684491
280	0.7908966735
281	0.7897237137
282	0.7884132559
283	0.787225805
284	0.7861229391
285	0.7848442682
286	0.7834117678
287	0.7823049862
288	0.7809171721
289	0.7797896176
290	0.7785739244
291	0.7773654824
292	0.7773535634
293	0.7760677531
294	0.7748897629
295	0.7741856541
296	0.7729545843
297	0.77186528
298	0.7705549778
299	0.7697513403
300	0.7689050781
301	0.7686827854
302	0.7674964897
303	0.7664790023
304	0.7651892214
305	0.7642832811
306	0.7636561656
307	0.7626167662
308	0.7613245215
309	0.7601402764
310	0.7589025019
311	0.7579984497
312	0.7568149198
313	0.7562911143
314	0.7548559515
315	0.753800106
316	0.7529645172
317	0.751920424
318	0.750627425
319	0.7496412242
320	0.7485672219
321	0.7475527949
322	0.7466208366
323	0.7455008907
324	0.7444321681
325	0.7433015842
326	0.7421273056
327	0.7408979937
328	0.7398186939
329	0.7389176972
330	0.7385648718
331	0.7374635353
332	0.7374631366
333	0.7365642559
334	0.7356981386
335	0.7353505989
336	0.7342526968
337	0.7330775234
338	0.7322686306
339	0.731332961
340	0.7312694702
341	0.7302173113
342	0.7296332937
343	0.7287451941
344	0.7279759295
345	0.7268099671
346	0.725800241
347	0.7248707015
348	0.7243679706
349	0.7234015473
350	0.7223107725
351	0.7212613493
352	0.7202820642
353	0.7193268536
354	0.7182635975
355	0.7176920585
356	0.7166157638
357	0.7158174431
358	0.7147949164
359	0.7138479728
360	0.7129125317
361	0.71203717
362	0.7109774214
363	0.7100850398
364	0.7090121319
365	0.7080668937
366	0.7072360198
367	0.7062793584
368	0.7053459526
369	0.7043614362
370	0.7042953349
371	0.7032799998
372	0.7029265798
373	0.7025729976
374	0.7015020629
375	0.7006244052
376	0.6998340479
377	0.6990536133
378	0.6981955081
379	0.6971991902
380	0.6964999742
381	0.6956085106
382	0.6948060487
383	0.6941803642
384	0.6934042568
385	0.6924580854
386	0.6921585157
387	0.6912945258
388	0.690478855
389	0.6897393465
390	0.6887634763
391	0.6880170685
392	0.6872983772
393	0.6861187693
394	0.6852776524
395	0.684675607
396	0.6839593909
397	0.6830656163
398	0.6822213855
399	0.6814217255
400	0.6806125818
401	0.6797728233
402	0.678934247
403	0.6781569695
404	0.6773165863
405	0.6764863869
406	0.6757236509
407	0.6750122905
408	0.6740653005
409	0.6733958864
410	0.6726726053
411	0.6720294647
412	0.6714251401
413	0.6706162705
414	0.6696081058
415	0.6687659362
416	0.6680768865
417	0.6674745626
418	0.6668441269
419	0.6661128109
420	0.6652879157
421	0.6646051665
422	0.6638719954
423	0.6631573826
424	0.6624023739
425	0.6615779803
426	0.6613676242
427	0.6607016853
428	0.6600079892
429	0.659334259
430	0.6586517787
431	0.657901886
432	0.6571682385
433	0.6560948311
434	0.6552721483
435	0.6543807654
436	0.6536199466
437	0.6528173159
438	0.652121978
439	0.6514592717
440	0.6506261956
441	0.6499231856
442	0.6493109671
443	0.6492430263
444	0.6485136451
445	0.6478685798
446	0.6471708259
447	0.6464273446
448	0.6457920039
449	0.6451908238
450	0.64447081
451	0.6436390247
452	0.6432272417
453	0.6425407656
454	0.642440412
455	0.6416998909
456	0.6414125122
457	0.6406964704
458	0.6400251132
459	0.6393985332
460	0.638714643
461	0.638094682
462	0.6373357478
463	0.636596559
464	0.6360023318
465	0.6353634872
466	0.6346646255
467	0.6339268963
468	0.6332352524
469	0.6325811783
470	0.631920141
471	0.631321411
472	0.6307256444
473	0.6299421752
474	0.6295982709
475	0.6289462702
476	0.6287825216
477	0.6280559991
478	0.6274792797
479	0.6268909922
480	0.6260945306
481	0.6255191756
482	0.6254546095
483	0.6248075973
484	0.6241069257
485	0.6234994373
486	0.6228377185
487	0.6221567495
488	0.6214232684
489	0.6206999546
490	0.6201396021
491	0.6194182216
492	0.6188243939
493	0.6184150729
494	0.6177816519
495	0.617170359
496	0.6164666555
497	0.6157412006
498	0.6151700462
499	0.6144657375
