iter	Passed	Remaining
0	3	1761
1	4	1136
2	14	2465
3	22	2800
4	23	2346
5	25	2090
6	32	2266
7	34	2151
8	42	2308
9	51	2530
10	53	2361
11	61	2517
12	69	2602
13	75	2637
14	79	2555
15	84	2550
16	86	2445
17	87	2334
18	94	2397
19	100	2409
20	108	2480
21	110	2391
22	112	2322
23	113	2242
24	114	2175
25	116	2127
26	117	2062
27	121	2046
28	129	2099
29	137	2159
30	145	2205
31	151	2210
32	158	2247
33	164	2249
34	165	2192
35	170	2191
36	175	2192
37	183	2236
38	192	2272
39	201	2318
40	210	2355
41	215	2352
42	222	2364
43	224	2328
44	233	2358
45	241	2380
46	251	2422
47	255	2409
48	264	2433
49	269	2422
50	270	2378
51	277	2392
52	284	2399
53	291	2408
54	298	2415
55	307	2435
56	316	2459
57	317	2419
58	326	2438
59	334	2456
60	344	2481
61	352	2493
62	366	2545
63	381	2599
64	391	2619
65	393	2585
66	399	2584
67	400	2544
68	407	2545
69	413	2538
70	420	2541
71	425	2529
72	433	2533
73	437	2519
74	442	2507
75	450	2513
76	458	2517
77	465	2520
78	472	2518
79	477	2505
80	484	2508
81	491	2507
82	499	2510
83	507	2514
84	516	2519
85	524	2523
86	533	2533
87	539	2525
88	544	2512
89	551	2512
90	558	2509
91	564	2501
92	570	2497
93	576	2488
94	584	2491
95	589	2479
96	593	2464
97	599	2459
98	606	2454
99	613	2455
100	621	2456
101	626	2444
102	633	2440
103	638	2432
104	640	2408
105	644	2396
106	652	2398
107	659	2394
108	669	2402
109	671	2381
110	675	2368
111	683	2367
112	690	2364
113	697	2360
114	705	2362
115	714	2366
116	721	2361
117	729	2362
118	738	2363
119	744	2357
120	751	2355
121	759	2352
122	766	2348
123	776	2354
124	784	2352
125	791	2347
126	797	2340
127	805	2341
128	812	2336
129	820	2334
130	828	2332
131	834	2325
132	841	2323
133	850	2323
134	858	2321
135	865	2316
136	872	2312
137	879	2307
138	886	2301
139	889	2287
140	896	2281
141	900	2269
142	905	2260
143	911	2253
144	918	2248
145	925	2244
146	936	2248
147	944	2247
148	950	2240
149	958	2236
150	966	2233
151	973	2228
152	974	2211
153	982	2208
154	985	2194
155	993	2191
156	1002	2190
157	1004	2173
158	1011	2169
159	1019	2167
160	1028	2164
161	1029	2148
162	1037	2144
163	1043	2137
164	1050	2133
165	1059	2132
166	1064	2122
167	1067	2108
168	1075	2106
169	1086	2108
170	1101	2119
171	1114	2125
172	1122	2120
173	1133	2123
174	1136	2111
175	1144	2107
176	1151	2101
177	1159	2097
178	1166	2091
179	1175	2090
180	1184	2088
181	1196	2090
182	1204	2085
183	1212	2081
184	1217	2072
185	1218	2057
186	1226	2053
187	1232	2044
188	1239	2040
189	1246	2033
190	1252	2025
191	1259	2021
192	1266	2014
193	1273	2009
194	1280	2003
195	1288	1998
196	1295	1993
197	1301	1985
198	1309	1981
199	1318	1977
200	1325	1972
201	1333	1966
202	1341	1962
203	1348	1956
204	1350	1942
205	1351	1928
206	1359	1923
207	1366	1917
208	1371	1909
209	1378	1903
210	1385	1897
211	1387	1884
212	1394	1878
213	1399	1870
214	1408	1867
215	1415	1860
216	1422	1855
217	1428	1847
218	1435	1841
219	1441	1834
220	1441	1820
221	1448	1813
222	1451	1802
223	1459	1798
224	1465	1791
225	1472	1785
226	1479	1778
227	1485	1772
228	1491	1764
229	1497	1758
230	1505	1753
231	1511	1745
232	1516	1737
233	1521	1729
234	1525	1720
235	1530	1711
236	1534	1703
237	1539	1694
238	1545	1688
239	1552	1682
240	1557	1673
241	1581	1685
242	1600	1692
243	1609	1689
244	1620	1686
245	1624	1677
246	1630	1670
247	1638	1664
248	1645	1659
249	1651	1651
250	1657	1643
251	1663	1637
252	1671	1632
253	1679	1626
254	1685	1619
255	1692	1612
256	1693	1601
257	1700	1595
258	1707	1588
259	1713	1581
260	1720	1575
261	1721	1563
262	1723	1553
263	1730	1547
264	1737	1540
265	1743	1534
266	1750	1527
267	1755	1519
268	1759	1511
269	1766	1504
270	1773	1498
271	1774	1487
272	1781	1481
273	1787	1474
274	1793	1467
275	1798	1459
276	1805	1453
277	1806	1442
278	1809	1433
279	1814	1425
280	1818	1417
281	1825	1411
282	1830	1403
283	1834	1394
284	1839	1387
285	1845	1380
286	1850	1373
287	1855	1365
288	1862	1359
289	1866	1351
290	1871	1344
291	1875	1336
292	1879	1327
293	1886	1321
294	1887	1311
295	1893	1304
296	1901	1299
297	1904	1290
298	1910	1284
299	1917	1278
300	1923	1271
301	1930	1265
302	1935	1258
303	1936	1248
304	1942	1241
305	1946	1233
306	1952	1227
307	1956	1219
308	1958	1210
309	1964	1204
310	1971	1198
311	1976	1190
312	1982	1184
313	1989	1178
314	1995	1171
315	1997	1163
316	2004	1156
317	2010	1150
318	2016	1143
319	2021	1137
320	2028	1131
321	2035	1125
322	2041	1118
323	2048	1112
324	2053	1105
325	2059	1099
326	2061	1090
327	2067	1084
328	2074	1077
329	2077	1070
330	2081	1062
331	2087	1056
332	2093	1049
333	2099	1043
334	2105	1037
335	2112	1030
336	2118	1024
337	2125	1018
338	2130	1011
339	2136	1005
340	2142	999
341	2147	992
342	2153	985
343	2159	979
344	2166	973
345	2173	967
346	2179	961
347	2186	955
348	2192	948
349	2198	942
350	2203	935
351	2209	929
352	2211	920
353	2217	914
354	2224	908
355	2228	901
356	2229	893
357	2235	886
358	2240	880
359	2246	873
360	2252	867
361	2257	860
362	2263	854
363	2270	848
364	2276	841
365	2281	835
366	2288	829
367	2293	822
368	2300	816
369	2305	810
370	2310	803
371	2311	795
372	2317	789
373	2319	781
374	2325	775
375	2327	767
376	2333	761
377	2337	754
378	2343	748
379	2348	741
380	2353	735
381	2359	728
382	2366	722
383	2372	716
384	2378	710
385	2385	704
386	2391	698
387	2397	692
388	2404	686
389	2412	680
390	2421	675
391	2429	669
392	2438	663
393	2445	657
394	2452	651
395	2459	646
396	2463	639
397	2465	631
398	2485	629
399	2501	625
400	2513	620
401	2520	614
402	2527	608
403	2532	601
404	2540	595
405	2547	589
406	2554	583
407	2558	577
408	2565	570
409	2570	564
410	2576	557
411	2583	551
412	2589	545
413	2593	538
414	2599	532
415	2606	526
416	2611	519
417	2616	513
418	2622	506
419	2629	500
420	2639	495
421	2646	489
422	2653	483
423	2659	476
424	2667	470
425	2671	464
426	2679	458
427	2687	452
428	2695	446
429	2708	440
430	2710	434
431	2721	428
432	2728	422
433	2737	416
434	2750	411
435	2759	405
436	2769	399
437	2777	393
438	2789	387
439	2796	381
440	2802	374
441	2808	368
442	2818	362
443	2826	356
444	2829	349
445	2840	343
446	2852	338
447	2862	332
448	2864	325
449	2873	319
450	2883	313
451	2897	307
452	2908	301
453	2920	295
454	2922	289
455	2931	282
456	2934	276
457	2939	269
458	2941	262
459	2955	256
460	2964	250
461	2976	244
462	2979	238
463	2988	231
464	2990	225
465	2999	218
466	3008	212
467	3020	206
468	3026	200
469	3035	193
470	3039	187
471	3048	180
472	3054	174
473	3061	167
474	3066	161
475	3068	154
476	3075	148
477	3083	141
478	3089	135
479	3098	129
480	3104	122
481	3112	116
482	3119	109
483	3125	103
484	3132	96
485	3138	90
486	3143	83
487	3149	77
488	3156	70
489	3164	64
490	3172	58
491	3179	51
492	3192	45
493	3209	38
494	3228	32
495	3238	26
496	3265	19
497	3267	13
498	3287	6
499	3311	0
